distribution, operations, algorithm, threshold, iterations, seed, n_server,  Real_time, Simulation_time, RAM_Usage
exponential, true, 1, -1, 50,12345,3,0,10,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,14,-1.0
exponential, true, 1, -1, 50,12345,3,0,3,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,7,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,17,-1.0
exponential, true, 1, -1, 50,12345,3,0,12,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,9,-1.0
exponential, true, 1, -1, 50,12345,3,0,4,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,5,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,6,-1.0
exponential, true, 1, -1, 50,12345,3,0,22,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,11,-1.0
exponential, true, 1, -1, 100,12345,3,0,16,-1.0
exponential, true, 1, -1, 100,12345,3,0,14,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,11,-1.0
exponential, true, 1, -1, 100,12345,3,0,26,-1.0
exponential, true, 1, -1, 100,12345,3,0,25,-1.0
exponential, true, 1, -1, 100,12345,3,0,13,-1.0
exponential, true, 1, -1, 100,12345,3,0,9,-1.0
exponential, true, 1, -1, 100,12345,3,0,10,-1.0
exponential, true, 1, -1, 100,12345,3,0,20,-1.0
exponential, true, 1, -1, 100,12345,3,0,12,-1.0
exponential, true, 1, -1, 100,12345,3,0,8,-1.0
exponential, true, 1, -1, 100,12345,3,0,12,-1.0
exponential, true, 1, -1, 100,12345,3,0,7,-1.0
exponential, true, 1, -1, 100,12345,3,0,28,-1.0
exponential, true, 1, -1, 150,12345,3,0,22,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,26,-1.0
exponential, true, 1, -1, 150,12345,3,0,18,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 150,12345,3,0,17,-1.0
exponential, true, 1, -1, 150,12345,3,0,25,-1.0
exponential, true, 1, -1, 150,12345,3,0,24,-1.0
exponential, true, 1, -1, 150,12345,3,0,21,-1.0
exponential, true, 1, -1, 150,12345,3,0,16,-1.0
exponential, true, 1, -1, 150,12345,3,0,11,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,14,-1.0
exponential, true, 1, -1, 150,12345,3,0,16,-1.0
exponential, true, 1, -1, 150,12345,3,0,22,-1.0
exponential, true, 1, -1, 150,12345,3,0,11,-1.0
exponential, true, 1, -1, 150,12345,3,0,15,-1.0
exponential, true, 1, -1, 150,12345,3,0,13,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,23,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,34,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,18,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,36,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,24,-1.0
exponential, true, 1, -1, 200,12345,3,0,22,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,19,-1.0
exponential, true, 1, -1, 200,12345,3,0,16,-1.0
exponential, true, 1, -1, 200,12345,3,0,17,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 200,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,29,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,39,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,33,-1.0
exponential, true, 1, -1, 250,12345,3,0,21,-1.0
exponential, true, 1, -1, 250,12345,3,0,40,-1.0
exponential, true, 1, -1, 250,12345,3,0,22,-1.0
exponential, true, 1, -1, 250,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,25,-1.0
exponential, true, 1, -1, 250,12345,3,0,22,-1.0
exponential, true, 1, -1, 250,12345,3,0,30,-1.0
exponential, true, 1, -1, 250,12345,3,0,25,-1.0
exponential, true, 1, -1, 250,12345,3,0,20,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
exponential, true, 1, -1, 250,12345,3,0,23,-1.0
