distribution, operations, algorithm, threshold, iterations, seed, n_server,  Global_sys_avg_jobs, Cloud_avg_jobs, Cloudlet_avg_jobs, Global_class1_avg_jobs, Cloud_class1_avg_jobs, Cloudlet_class1_avg_jobs,Global_class2_avg_jobs, Cloud_class2_avg_jobs, Cloudlet_class2_avg_jobs
exponential, true, 1, -1, 50,12345,3,18.24,15.44,2.8,11.94,10.199999999999998,1.7399999999999998,6.300000000000001,5.239999999999999,1.0599999999999996
exponential, true, 1, -1, 50,12345,3,17.439999999999998,14.600000000000001,2.8400000000000007,9.860000000000001,9.08,0.7799999999999998,7.58,5.52,2.0599999999999996
exponential, true, 1, -1, 50,12345,3,17.739999999999995,14.92,2.8200000000000003,9.0,7.5600000000000005,1.4400000000000006,8.74,7.36,1.3800000000000001
exponential, true, 1, -1, 50,12345,3,17.7,14.940000000000001,2.76,10.38,9.680000000000003,0.7000000000000002,7.320000000000001,5.26,2.0599999999999996
exponential, true, 1, -1, 50,12345,3,18.619999999999997,15.779999999999998,2.8400000000000003,8.379999999999999,7.059999999999999,1.3199999999999998,10.24,8.719999999999999,1.52
exponential, true, 1, -1, 50,12345,3,17.580000000000002,14.780000000000001,2.8000000000000007,7.2,6.4799999999999995,0.7200000000000001,10.380000000000003,8.299999999999999,2.08
exponential, true, 1, -1, 50,12345,3,16.119999999999997,13.379999999999997,2.7399999999999998,8.16,7.200000000000001,0.9599999999999999,7.96,6.1800000000000015,1.7799999999999998
exponential, true, 1, -1, 50,12345,3,17.54,14.860000000000003,2.68,11.600000000000001,10.16,1.4399999999999997,5.939999999999999,4.7,1.2400000000000004
exponential, true, 1, -1, 50,12345,3,17.800000000000004,15.04,2.7600000000000002,6.02,4.959999999999999,1.0599999999999998,11.78,10.08,1.7
exponential, true, 1, -1, 50,12345,3,18.140000000000004,15.360000000000003,2.7799999999999994,9.100000000000001,8.7,0.39999999999999997,9.040000000000001,6.659999999999998,2.3799999999999994
exponential, true, 1, -1, 50,12345,3,19.860000000000003,17.0,2.86,10.68,9.72,0.9600000000000001,9.179999999999998,7.280000000000002,1.9000000000000001
exponential, true, 1, -1, 50,12345,3,16.919999999999998,14.2,2.719999999999999,6.980000000000001,6.3,0.6799999999999999,9.940000000000003,7.900000000000001,2.04
