distribution, operations, algorithm, threshold, iterations, seed, n_server, Global_sys_throughput, Cloud_throughput, Cloudlet_throughput, Global_class1_throughput, Cloud_class1_throughput, Cloudlet_class1_throughput,Global_class2_throughput, Cloud_class2_throughput, Cloudlet_class2_throughput
exponential, true, 1, -1, 50,12345,3,4.572764023208963,3.9325770599597085,0.640186963249255,2.926568974853737,2.56074785299702,0.36582112185671706,1.6461950483552268,1.371829206962689,0.27436584139253783
exponential, true, 1, -1, 50,12345,3,10.830205805451662,9.747185224906495,1.0830205805451663,6.498123483270997,6.0649152510529305,0.4332082322180665,4.332082322180665,3.682269973853565,0.6498123483270997
exponential, true, 1, -1, 50,12345,3,3.4294847578162733,3.0179465868783204,0.41153817093795275,1.8519217692207874,1.5775629885954856,0.27435878062530183,1.5775629885954854,1.4403835982828346,0.13717939031265092
exponential, true, 1, -1, 50,12345,3,13.117362014042644,10.756236851514968,2.3611251625276757,7.345722727863881,6.033986526459616,1.3117362014042644,5.771639286178763,4.722250325055351,1.0493889611234115
exponential, true, 1, -1, 50,12345,3,10.065477179520517,9.058929461568466,1.006547717952052,5.23404813335067,4.831429046169849,0.40261908718082073,4.831429046169849,4.227500415398618,0.6039286307712312
exponential, true, 1, -1, 50,12345,3,8.744069118648355,7.519899442037586,1.22416967661077,4.19715317695121,3.497627647459342,0.6995255294918684,4.546915941697145,4.022271794578244,0.5246441471189014
exponential, true, 1, -1, 50,12345,3,6.8976547535783475,5.518123802862678,1.3795309507156694,3.724733566932308,2.897014996502906,0.8277185704294017,3.17292118664604,2.6211088063597723,0.5518123802862678
exponential, true, 1, -1, 50,12345,3,7.401914252580834,5.77349311701305,1.6284211355677836,4.293110266496884,3.256842271135567,1.0362679953613168,3.10880398608395,2.5166508458774834,0.5921531402064667
exponential, true, 1, -1, 50,12345,3,2.922515500814435,2.3964627106678367,0.5260527901465982,1.1105558903094852,0.9352049602606192,0.1753509300488661,1.8119596105049496,1.4612577504072173,0.3507018600977322
exponential, true, 1, -1, 50,12345,3,4.051018957987129,3.4838763038689304,0.567142654118198,2.0255094789935644,1.7824483415143366,0.24306113747922772,2.0255094789935644,1.701427962354594,0.3240815166389703
exponential, true, 1, -1, 50,12345,3,11.994745408082826,11.0351657754362,0.9595796326466262,6.23726761220307,5.997372704041413,0.23989490816165654,5.7574777958797565,5.037793071394787,0.7196847244849696
exponential, true, 1, -1, 50,12345,3,5.104401631857645,4.083521305486116,1.020880326371529,2.450112783291669,2.1438486853802106,0.30626409791145864,2.654288848565975,1.939672620105905,0.7146162284600702
exponential, true, 1, -1, 50,12345,3,11.996128807196087,10.796515926476477,1.1996128807196085,5.038374099022356,4.798451522878434,0.2399225761439217,6.957754708173729,5.998064403598042,0.9596903045756868
exponential, true, 1, -1, 50,12345,3,9.489496463985676,8.350756888307394,1.1387395756782812,3.9855885148739842,3.4162187270348436,0.5693697878391406,5.503907949111692,4.934538161272552,0.5693697878391406
exponential, true, 1, -1, 50,12345,3,7.144370971633151,6.001271616171847,1.1430993554613043,4.2866225829798905,3.5721854858165756,0.7144370971633152,2.8577483886532606,2.4290861303552713,0.4286622582979891
exponential, true, 1, -1, 50,12345,3,8.655101243624406,7.9626931441344535,0.6924080994899525,3.981346572067227,3.635142522322251,0.34620404974497626,4.673754671557179,4.327550621812203,0.34620404974497626
exponential, true, 1, -1, 50,12345,3,8.369250002255379,6.862785001849411,1.5064650004059683,4.352010001172797,3.682470000992367,0.6695400001804304,4.017240001082582,3.180315000857044,0.836925000225538
exponential, true, 1, -1, 50,12345,3,8.154561847473401,7.176014425776593,0.9785474216968082,4.892737108484041,4.403463397635637,0.4892737108484041,3.2618247389893607,2.7725510281409567,0.4892737108484041
exponential, true, 1, -1, 50,12345,3,8.210176149829866,7.060751488853685,1.1494246609761813,4.597698643904725,4.105088074914933,0.492610568989792,3.6124775059251415,2.955663413938752,0.6568140919863893
exponential, true, 1, -1, 50,12345,3,2.2152870255542205,2.038064063509883,0.17722296204433766,1.1519492532881948,1.0190320317549415,0.13291722153325325,1.063337772266026,1.0190320317549415,0.044305740511084414
exponential, true, 1, -1, 100,12345,3,11.711654994676229,10.306256395315081,1.4053985993611475,7.261226096699262,6.441410247071926,0.819815849627336,4.450428897976967,3.8648461482431555,0.5855827497338114
exponential, true, 1, -1, 100,12345,3,12.1287831453679,10.79461699937743,1.3341661459904688,6.670830729952344,5.821815909776592,0.8490148201757529,5.457952415415554,4.972801089600838,0.485151325814716
exponential, true, 1, -1, 100,12345,3,10.664243983924516,9.70446202537131,0.9597819585532066,5.332121991962258,4.905552232605277,0.42656975935698066,5.332121991962258,4.7989097927660325,0.5332121991962259
exponential, true, 1, -1, 100,12345,3,8.91779103761542,7.758478202725415,1.1593128348900046,4.9939629810646355,4.280539698055402,0.7134232830092336,3.923828056550785,3.4779385046700138,0.445889551880771
exponential, true, 1, -1, 100,12345,3,6.084849496681612,5.354667557079818,0.7301819396017933,2.677333778539909,2.3730913037058285,0.30424247483408057,3.407515718141702,2.9815762533739893,0.42593946476771277
exponential, true, 1, -1, 100,12345,3,6.793800501893629,6.182358456723202,0.6114420451704267,3.396900250946815,3.193086235890006,0.20381401505680888,3.3969002509468145,2.9892722208331968,0.40762803011361776
exponential, true, 1, -1, 100,12345,3,11.834154593303255,11.005763771772028,0.8283908215312278,4.970344929187367,4.61532029138827,0.35502463779909765,6.863809664115887,6.390443480383757,0.4733661837321302
exponential, true, 1, -1, 100,12345,3,10.201308896489193,9.385204184770057,0.8161047117191355,5.406693715139273,4.896628270314813,0.5100654448244597,4.79461518134992,4.488575914455245,0.3060392668946758
